id,csv_ingredient,base_type,protein_type,vegetable_type
1,wheat flour,chapati,,
2,"self-raising wheat flour
eggs
margarine
Rind from lemons sugar
 salt",chapati,,
3,"self-raising wheat flour
eggs
margarine
Rind from lemons sugar
 salt",,eggs,
4,"all-purpose wheat flour
baking powder
sugar
cooking oil
water",chapati,,
5,"minced beef
coriander",,beef,
6,"fresh
leek
garlic
chilli pepper
wheat flour
salt
water
cooking oil",chapati,,
7,"fresh
leek
garlic
chilli pepper
wheat flour
salt
water
cooking oil",,,garlic
8,"fresh
leek
garlic
chilli pepper
wheat flour
salt
water
cooking oil",,,dhania
9,"fresh
leek
garlic
chilli pepper
wheat flour
salt
water
cooking oil",,,leek
10,"cabbage
garlic
onions
carrots
ginger
garden peas
water
wheat flour
salt
green chilli
cooking oil",chapati,,
11,"cabbage
garlic
onions
carrots
ginger
garden peas
water
wheat flour
salt
green chilli
cooking oil",,,cabbage
12,"cabbage
garlic
onions
carrots
ginger
garden peas
water
wheat flour
salt
green chilli
cooking oil",,,onions
13,"cabbage
garlic
onions
carrots
ginger
garden peas
water
wheat flour
salt
green chilli
cooking oil",,,carrots
14,"cabbage
garlic
onions
carrots
ginger
garden peas
water
wheat flour
salt
green chilli
cooking oil",,,garlic
15,"cabbage
garlic
onions
carrots
ginger
garden peas
water
wheat flour
salt
green chilli
cooking oil",,,ginger
16,"wheat flour
eggs
cow milk
sugar
water
cooking oil",chapati,,
17,"wheat flour
eggs
cow milk
sugar
water
cooking oil",,eggs,
18,"wheat flour
eggs
cow milk
sugar",chapati,,
19,"wheat flour
eggs
cow milk
sugar",,eggs,
20,"wheat flour
maize flour
yeast
water
salt
butter
mixed spices
garlic",ugali,,
21,"wheat flour
maize flour
yeast
water
salt
butter
mixed spices
garlic",,,garlic
22,"wheat flour
wheat flour
sugar
cooking oil
cardamom 
water",chapati,,
23,"eggs
salt
cooking oil
bread",bread,,
24,"eggs
salt
cooking oil
bread",,eggs,
25,"whole maize flour
water
cow milk",ugali,,
26,"sorghum flour
finger millet flour
maize flou
cow milk
water",chapati,,
27,"cassava flour
sugar
water",chapati,,
28,"finger millet flour
sugar
water",chapati,,
29,"bulrush millet flour
sugar
water",chapati,,
30,"rice flour
sugar
cardamom powder
coconut milk
water",chapati,,
31,"cassava flour
red sorghum flour
finger millet flour
sugar
water",chapati,,
32,"finger millet flour
sorghum flour
milk
water",chapati,,
33,"oatmeal flour
sugar
water
cow milk",chapati,,
34,"maize flour
finger millet flour
sprouted finger millet flour
water",ugali,,
35,"white rice
beef
cardamom
cinnamon
black peppe
cloves
salt
cumin
potatoes
onions
garlic
ginger
green capsicum
coriander
water
cooking oil",rice,,
36,"white rice
beef
cardamom
cinnamon
black peppe
cloves
salt
cumin
potatoes
onions
garlic
ginger
green capsicum
coriander
water
cooking oil",,beef,
37,"white rice
beef
cardamom
cinnamon
black peppe
cloves
salt
cumin
potatoes
onions
garlic
ginger
green capsicum
coriander
water
cooking oil",,,onions
38,"white rice
beef
cardamom
cinnamon
black peppe
cloves
salt
cumin
potatoes
onions
garlic
ginger
green capsicum
coriander
water
cooking oil",,,garlic
39,"white rice
beef
cardamom
cinnamon
black peppe
cloves
salt
cumin
potatoes
onions
garlic
ginger
green capsicum
coriander
water
cooking oil",,,ginger
40,"white rice
beef
cardamom
cinnamon
black peppe
cloves
salt
cumin
potatoes
onions
garlic
ginger
green capsicum
coriander
water
cooking oil",,,dhania
41,"kidney beans
water
white rice
onion
tomatoes
cooking oil
salt",rice,,
42,"kidney beans
water
white rice
onion
tomatoes
cooking oil
salt",,beans,
43,"kidney beans
water
white rice
onion
tomatoes
cooking oil
salt",,,tomatoes
44,"kidney beans
water
white rice
onion
tomatoes
cooking oil
salt",,,onions
45,"white rice
green grams
coconut milk
onion
salt
water",rice,,
46,"white rice
green grams
coconut milk
onion
salt
water",,,onions
47,"white rice
water
food colour powder",rice,,
48,"white rice
salt
cooking oil
water",rice,,
49,"white rice
onions
cooking oil
salt
water",rice,,
50,"white rice
onions
cooking oil
salt
water",,,onions
51,"potatoes
carrots
onion
tomato
cooking fat
white rice
water
salt",rice,,
52,"potatoes
carrots
onion
tomato
cooking fat
white rice
water
salt",,,tomatoes
53,"potatoes
carrots
onion
tomato
cooking fat
white rice
water
salt",,,onions
54,"potatoes
carrots
onion
tomato
cooking fat
white rice
water
salt",,,carrots
55,"white rice
water
salt",rice,,
56,"white rice
water
milk
milk cream",rice,,
57,"potatoes
pumpkin leaves
green maize
water
salt",potatoes,,
58,"potatoes
pumpkin leaves
white maize and kidney
beans
water
salt",potatoes,,
59,"potatoes
pumpkin leaves
white maize and kidney
beans
water
salt",,beans,
60,"potatoes
green bananas
njahi",potatoes,,
61,"njahi dolichos lablab
blackbeans
unpeeled bananas
salt
water",,beans,
62,"potato
bananas
onion
tomato
cooking fat
salt
water",potatoes,,
63,"potato
bananas
onion
tomato
cooking fat
salt
water",,,tomatoes
64,"potato
bananas
onion
tomato
cooking fat
salt
water",,,onions
65,"beans
green maize
sweet potatoes
salt
peanut butter
water",potatoes,,
66,"beans
green maize
sweet potatoes
salt
peanut butter
water",,beans,
67,"black beans
dolichos lablab
sweet potatoes
water
salt",potatoes,,
